i=130 | event=IMPR | counter=0 | f_prime=2063512644.67 | f_star=2063512644.67 | 7019695812.933->4031756516.448 | f_range=[2063512644.67, 55586402037.67]
i=131 | event=NONE | counter=1 | f_prime=13398898087.67 | f_star=2063512644.67 | 4031756516.448->4031756516.448 | f_range=[2063512644.67, 55586402037.67]
i=132 | event=NONE | counter=2 | f_prime=7413240696.67 | f_star=2063512644.67 | 4031756516.448->4031756516.448 | f_range=[2063512644.67, 55586402037.67]
i=133 | event=NONE | counter=3 | f_prime=10318269601.67 | f_star=2063512644.67 | 4031756516.448->4031756516.448 | f_range=[2063512644.67, 55586402037.67]
i=134 | event=STAG | counter=0 | f_prime=8763580819.67 | f_star=2063512644.67 | 4031756516.448->7019695812.933 | f_range=[2063512644.67, 55586402037.67]
i=135 | event=NONE | counter=1 | f_prime=5877672855.67 | f_star=2063512644.67 | 7019695812.933->7019695812.933 | f_range=[2063512644.67, 55586402037.67]
i=136 | event=NONE | counter=2 | f_prime=26193288025.00 | f_star=2063512644.67 | 7019695812.933->7019695812.933 | f_range=[2063512644.67, 55586402037.67]
i=137 | event=NONE | counter=3 | f_prime=15310048690.00 | f_star=2063512644.67 | 7019695812.933->7019695812.933 | f_range=[2063512644.67, 55586402037.67]
i=138 | event=STAG | counter=0 | f_prime=7231519432.00 | f_star=2063512644.67 | 7019695812.933->7136385252.400 | f_range=[2063512644.67, 55586402037.67]
i=139 | event=NONE | counter=1 | f_prime=5628861837.67 | f_star=2063512644.67 | 7136385252.400->7136385252.400 | f_range=[2063512644.67, 55586402037.67]
i=140 | event=NONE | counter=2 | f_prime=6874240005.67 | f_star=2063512644.67 | 7136385252.400->7136385252.400 | f_range=[2063512644.67, 55586402037.67]
i=141 | event=NONE | counter=3 | f_prime=5351554585.67 | f_star=2063512644.67 | 7136385252.400->7136385252.400 | f_range=[2063512644.67, 55586402037.67]
i=142 | event=STAG | counter=0 | f_prime=6976818129.00 | f_star=2063512644.67 | 7136385252.400->7136385252.400 | f_range=[2063512644.67, 55586402037.67]
i=143 | event=S_STAG | counter=0 | f_prime=3739203342.00 | f_star=2063512644.67 | 7136385252.400->6779246603.018 | f_range=[2063512644.67, 55586402037.67]
i=144 | event=NONE | counter=1 | f_prime=27809430792.67 | f_star=2063512644.67 | 6779246603.018->6779246603.018 | f_range=[2063512644.67, 55586402037.67]
i=145 | event=NONE | counter=2 | f_prime=7117805871.00 | f_star=2063512644.67 | 6779246603.018->6779246603.018 | f_range=[2063512644.67, 55586402037.67]
i=146 | event=NONE | counter=3 | f_prime=2292987339.67 | f_star=2063512644.67 | 6779246603.018->6779246603.018 | f_range=[2063512644.67, 55586402037.67]
